,year,month,week,Date,D,F,T,P,I
292,2021,Oct,42,10/19/2021,272105.76,2243584.23,70000,10571939.04,NA
293,2021,Oct,42,10/20/2021,2441250,2667160.46,NA,3290708.6,120500
294,2021,Oct,42,10/21/2021,1732137.13,4159747.57,1540000,2524681.81,78300
295,2021,Oct,43,10/22/2021,1418165.3,4468723.42,630000,9231939.69,105800
296,2021,Oct,43,10/23/2021,734000,1847370.65,198000,NA,125000
297,2021,Oct,43,10/24/2021,110000,655481.63,75000,NA,NA
298,2021,Oct,43,10/25/2021,3356400,4560849.87,1100000,14519875.62,336250
299,2021,Oct,43,10/26/2021,6206205,6498429.78,341000,6056524.76,223171.09
300,2021,Oct,43,10/27/2021,1835979,3228161.98,870000,8202873.43,484897.58
301,2021,Oct,43,10/28/2021,5577352,7008680.6,630000,5135266.08,585200
302,2021,Oct,44,10/29/2021,11417429.8,11953643.16,1870000,42084716.7,1122034.42
303,2021,Oct,44,10/30/2021,3042920,3441128.15,725000,NA,483860
304,2021,Oct,44,10/31/2021,3496033,3008924.48,180000,NA,216355
305,2021,Nov,44,11/1/2021,5981736.52,5911346.41,720860,1630456.17,898500
306,2021,Nov,44,11/2/2021,1612441.01,3272093.97,604750,6613383.68,292000
307,2021,Nov,44,11/3/2021,1274285.2,2246061,985000,2216947.29,244100
308,2021,Nov,44,11/4/2021,1613050,5387721.22,200500,2691270.01,1.00E+05
309,2021,Nov,45,11/5/2021,1689920,5534656.98,53000,10456301.83,52300
310,2021,Nov,45,11/6/2021,210000,1866662.43,240000,636124.58,810000
311,2021,Nov,45,11/7/2021,83485,1610000,NA,68500,NA
312,2021,Nov,45,11/8/2021,1741975,4231935.85,11000,8195226.32,349158.73
313,2021,Nov,45,11/9/2021,1377723.1,2771628.12,60000,11259679.47,54104.38
314,2021,Nov,45,11/10/2021,1859164.83,2888187.27,NA,6838701.74,50000
315,2021,Nov,45,11/11/2021,1897850,4389515.7,265000,5491927.82,131550
316,2021,Nov,46,11/12/2021,3559602.51,3127427.01,374000,17203953.5,128447.08
317,2021,Nov,46,11/13/2021,297000,1829527.98,101233.1,1506000,NA
318,2021,Nov,46,11/14/2021,797400,1679296.5,NA,4500,NA
319,2021,Nov,46,11/15/2021,3049000,2938929.17,NA,6488449.29,457312
320,2021,Nov,46,11/16/2021,1360094.61,1969537.54,310500,18815180.07,81300
321,2021,Nov,46,11/17/2021,1220000,2419751.03,25000,2866027.01,145000
322,2021,Nov,46,11/18/2021,2265271.43,1671319.26,NA,4431030.514,75000
323,2021,Nov,47,11/19/2021,1896963,2179697.91,120000,8744375.32,291400
324,2021,Nov,47,11/20/2021,583940,879704.7,NA,NA,10000
325,2021,Nov,47,11/21/2021,671000,1275822.59,NA,NA,NA
326,2021,Nov,47,11/22/2021,2430181.28,2370377.14,125000,4182475.53,282350
327,2021,Nov,47,11/23/2021,1764000.13,5202440.44,140000,7712472.17,97000
328,2021,Nov,47,11/24/2021,2489329.54,6933583.04,50000,4568628.84,93000
329,2021,Nov,47,11/25/2021,3006702.87,3818938.6,250000,7673003.04,201220
330,2021,Nov,48,11/26/2021,4156909.87,5142121.67,279000,14885119.85,1072355
331,2021,Nov,48,11/27/2021,1391819.98,796339.54,360000,1134205.85,136000
332,2021,Nov,48,11/28/2021,774000,510793.1,165000,120964.08,182000
333,2021,Nov,48,11/29/2021,6216267.45,4349044.7,624000,12283726.41,268862.09
334,2021,Nov,48,11/30/2021,8958067.86,7632502.83,842950,44266386.4,1507099
335,2021,Dec,48,12/1/2021,6746727.58,8852737.47,1086296.68,839223.7,1011358
336,2021,Dec,48,12/2/2021,2610935,5297019.47,184500,686808.25,1332100.02
337,2021,Dec,49,12/3/2021,1256692,6088101.56,360000,1809992.95,401814
338,2021,Dec,49,12/4/2021,617060,1980713.46,130000,NA,NA
339,2021,Dec,49,12/5/2021,386457.83,4933169.73,NA,NA,176900
